id,clicks,time_secs,avg_cpu,runs
1,1,0.51,99.93,1
2,1,0.55,99.93,1
3,3,2.98,99.99,1
4,0,0.02,99.85,1
5,0,0,99.98,1
6,0,0,100,1
7,0,0,100,1
8,0,0,100,1
9,0,0,100,1
10,1,0.86,99.99,1
11,5,4.11,100,1
12,5970,11.94,99.99,1
13,88,0.18,100,1
14,78,0.16,99.99,1
15,88,0.2,99.99,1
16,232,0.46,99.99,1
17,356,0.71,99.98,1
18,558,5.57,99.99,1
19,552,5.51,99.98,1
20,1560,15.6,99.98,1
21,2760,5.52,99.99,1
22,9340,15.63,99.99,1
23,62808,100.42,100,1
24,19,5.7,99.99,1
25,124,5.48,100,1
26,126,5.56,100,1
27,1,1.06,99.98,1
28,1,1.69,99.99,1
29,1,0.84,100,1
30,1,0.47,99.99,1
31,1,0.12,99.99,1
32,1,0.11,99.98,1
33,1,0.11,99.99,1
34,1,0.94,100,1
35,1,0.92,100,1
36,1,0.13,99.99,1
37,1,0.1,99.99,1
38,1,0.11,100,1
39,1,0.1,99.99,1
40,1,0.11,99.98,1
41,1,0.11,99.99,1
42,1,0.95,99.98,1
43,1,0.47,100,1
44,1,0.36,99.99,1
45,1,0.14,99.99,1
46,1,1.32,99.98,1
47,1,0.81,99.98,1
48,1,0.75,99.99,1
49,1,0.53,99.98,1
50,3,7.96,99.98,1
51,116,5.61,99.98,1
52,123,5.43,100,1
53,126,5.56,100,1
54,3488,8.12,100,1
55,1370,2.85,100,1
56,68,0.14,99.89,1
57,456,1.06,100,1
58,2668,7.04,99.86,1
59,2002,4,99.99,1
60,2556,5.11,99.99,1
61,2712,5.42,99.99,1
62,86,0.19,99.67,1
63,132,0.3,99.99,1
64,2654,5.31,99.98,1
65,2560,4.59,99.87,1
66,3334,5.57,99.98,1
67,3246,5.37,99.98,1
68,674,1.34,99.97,1
69,6354,10.65,99.99,1
70,234,0.42,99.99,1
71,90,0.18,99.98,1
72,6500,10.47,100,1
73,6244,10.22,99.98,1
74,6508,10.4,99.98,1
75,17442,27.83,99.99,1
76,66088,104.55,99.99,1
77,1748,3.69,99.99,1
78,1556,2.25,99.98,1
79,234,0.35,99.99,1
80,106,0.17,99.98,1
81,470,0.94,99.93,1
82,1398,2.8,99.99,1
83,580,1.16,99.98,1
84,4844,10,99.84,1
85,220,0.6,99.91,1
86,60,0.18,99.99,1
87,148,0.45,100,1
88,166,0.51,99.99,1
89,222,0.6,99.99,1
90,224,0.58,99.99,1
